k=10,k=15,k=20
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.35,0.0,0.0
0.22727272727272727,0.0,0.0
0.5,0.0,0.0
0.576923076923077,0.0,0.0
0.4642857142857143,0.0,0.0
0.30000000000000004,0.5,0.0
0.40625,0.59375,0.0
0.3235294117647059,0.32352941176470584,0.0
0.1111111111111111,0.4444444444444444,0.0
0.07894736842105263,0.5,0.0
0.15,0.6000000000000001,0.625
0.0,0.5476190476190476,0.21428571428571427
0.5227272727272727,0.36363636363636365,0.18181818181818182
0.2391304347826087,0.13043478260869565,0.34782608695652173
0.25,0.375,0.041666666666666664
0.3,0.22,0.0
0.09615384615384616,0.4807692307692308,0.038461538461538464
0.09259259259259259,0.48148148148148145,0.12962962962962962
0.16071428571428573,0.4642857142857143,0.1607142857142857
0.10344827586206896,0.06896551724137931,0.24137931034482757
0.1,0.08333333333333333,0.08333333333333333
0.20967741935483872,0.12903225806451613,0.43548387096774194
0.171875,0.21875,0.421875
0.06060606060606061,0.19696969696969696,0.030303030303030304
0.058823529411764705,0.22058823529411767,0.11764705882352941
0.15714285714285714,0.3285714285714285,0.3142857142857143
0.09722222222222222,0.1388888888888889,0.20833333333333334
0.06756756756756757,0.32432432432432434,0.0945945945945946
0.06578947368421052,0.42105263157894735,0.19736842105263158
0.02564102564102564,0.2948717948717949,0.38461538461538464
0.0375,0.3625,0.3625
0.0,0.06097560975609756,0.13414634146341464
0.03571428571428571,0.05952380952380952,0.2976190476190476
0.023255813953488372,0.09302325581395349,0.19767441860465115
0.06818181818181818,0.0,0.2954545454545454
0.08888888888888888,0.26666666666666666,0.022222222222222223
0.07608695652173914,0.34782608695652173,0.2717391304347826
0.06382978723404255,0.031914893617021274,0.02127659574468085
0.020833333333333332,0.11458333333333333,0.19791666666666666
0.061224489795918366,0.1836734693877551,0.07142857142857142
0.07,0.13,0.04
0.0,0.09803921568627451,0.0784313725490196
0.08653846153846154,0.0673076923076923,0.019230769230769232
0.0,0.18867924528301888,0.1320754716981132
0.0,0.07407407407407407,0.1388888888888889
0.01818181818181818,0.14545454545454545,0.22727272727272727
0.0,0.044642857142857144,0.1607142857142857
0.12280701754385964,0.017543859649122806,0.07894736842105263
0.02586206896551724,0.034482758620689655,0.0
0.01694915254237288,0.0423728813559322,0.09322033898305085
0.0,0.04166666666666667,0.20833333333333334
0.01639344262295082,0.0819672131147541,0.13934426229508196
0.024193548387096774,0.0967741935483871,0.016129032258064516
0.03968253968253968,0.015873015873015872,0.015873015873015872
0.0,0.0,0.125
0.16923076923076924,0.09230769230769231,0.08461538461538462
0.10606060606060606,0.09090909090909091,0.05303030303030303
0.08955223880597014,0.14925373134328357,0.1865671641791045
0.0661764705882353,0.0,0.13970588235294118
0.014492753623188406,0.043478260869565216,0.07971014492753624
0.0,0.02142857142857143,0.05714285714285714
0.014084507042253521,0.4014084507042254,0.056338028169014086
0.0625,0.125,0.013888888888888888
0.02054794520547945,0.1780821917808219,0.08904109589041095
0.060810810810810814,0.02027027027027027,0.02702702702702703
0.03333333333333333,0.04666666666666667,0.10666666666666667
0.0,0.039473684210526314,0.08552631578947367
0.025974025974025976,0.11038961038961038,0.08441558441558442
0.11538461538461539,0.09615384615384615,0.01282051282051282
0.012658227848101266,0.16455696202531644,0.13291139240506328
0.025,0.03125,0.0
0.0,0.11728395061728394,0.20987654320987653
0.0,0.09146341463414634,0.036585365853658534
0.030120481927710843,0.04216867469879518,0.0783132530120482
0.05357142857142857,0.047619047619047616,0.0
0.06470588235294117,0.01764705882352941,0.07058823529411765
0.06976744186046512,0.06976744186046512,0.12209302325581396
0.0,0.022988505747126436,0.15517241379310345
0.028409090909090908,0.06818181818181818,0.1534090909090909
0.016853932584269662,0.03932584269662921,0.12359550561797752
0.022222222222222223,0.03888888888888889,0.1111111111111111
0.0,0.11538461538461539,0.0
0.02717391304347826,0.043478260869565216,0.016304347826086956
0.016129032258064516,0.0,0.06451612903225806
0.0,0.015957446808510637,0.02127659574468085
0.0,0.0368421052631579,0.03684210526315789
0.020833333333333332,0.046875,0.052083333333333336
0.020618556701030927,0.07731958762886598,0.041237113402061855
0.03571428571428571,0.06632653061224489,0.030612244897959183
0.12626262626262627,0.030303030303030304,0.0
0.035,0.05,0.035
0.024752475247524754,0.09405940594059406,0.024752475247524754
0.0196078431372549,0.14215686274509803,0.0196078431372549
0.0,0.0,0.10679611650485436
0.03365384615384616,0.07211538461538461,0.07211538461538461
0.03333333333333333,0.023809523809523808,0.08095238095238094
0.018867924528301886,0.0330188679245283,0.014150943396226415
0.014018691588785047,0.018691588785046728,0.02336448598130841
0.009259259259259259,0.009259259259259259,0.018518518518518517
0.04128440366972477,0.0779816513761468,0.11009174311926606
0.0,0.0,0.00909090909090909
0.018018018018018018,0.02702702702702703,0.02702702702702703
0.017857142857142856,0.07142857142857142,0.05803571428571429
0.0,0.0,0.06637168141592921
0.05263157894736842,0.017543859649122806,0.008771929824561403
0.008695652173913044,0.0,0.0
0.008620689655172414,0.017241379310344827,0.02586206896551724
0.01282051282051282,0.07264957264957266,0.029914529914529916
0.0211864406779661,0.06779661016949153,0.00847457627118644
0.0,0.012605042016806723,0.02100840336134454
0.0,0.05416666666666667,0.025
0.0,0.012396694214876033,0.01652892561983471
0.02868852459016393,0.020491803278688527,0.05737704918032787
0.044715447154471545,0.052845528455284556,0.012195121951219513
0.024193548387096774,0.020161290322580645,0.020161290322580645
0.0,0.04,0.02
0.0,0.11507936507936507,0.023809523809523808
0.007874015748031496,0.07874015748031496,0.011811023622047244
0.0,0.0,0.02734375
0.007751937984496124,0.027131782945736434,0.0
0.0,0.023076923076923078,0.015384615384615385
0.0,0.007633587786259542,0.015267175572519083
0.0,0.0,0.0
0.02631578947368421,0.011278195488721804,0.015037593984962405
0.0,0.06343283582089553,0.033582089552238806
0.0,0.0,0.0
0.014705882352941176,0.01838235294117647,0.03676470588235294
0.0072992700729927005,0.01824817518248175,0.0364963503649635
0.0,0.057971014492753624,0.007246376811594203
0.007194244604316547,0.06474820143884892,0.0
0.039285714285714285,0.02142857142857143,0.0
0.0070921985815602835,0.035460992907801414,0.014184397163120567
0.035211267605633804,0.017605633802816902,0.007042253521126761
0.013986013986013986,0.0,0.03496503496503497
0.024305555555555552,0.017361111111111112,0.0
0.006896551724137931,0.006896551724137931,0.02413793103448276
0.00684931506849315,0.010273972602739725,0.00684931506849315
0.0,0.02380952380952381,0.0
0.0,0.0,0.030405405405405407
0.016778523489932886,0.026845637583892617,0.006711409395973154
0.0,0.04,0.05666666666666667
0.0,0.04304635761589404,0.0
0.019736842105263157,0.006578947368421052,0.03289473684210526
0.00980392156862745,0.016339869281045753,0.029411764705882353
0.0,0.03571428571428571,0.006493506493506494
0.0,0.025806451612903226,0.022580645161290325
0.0,0.00641025641025641,0.0
0.0,0.04140127388535032,0.0
0.0,0.0189873417721519,0.0
0.0,0.012578616352201259,0.0220125786163522
0.0,0.034375,0.0
0.006211180124223602,0.009316770186335404,0.009316770186335404
0.009259259259259259,0.0,0.006172839506172839
0.0,0.009202453987730062,0.012269938650306749
0.01524390243902439,0.027439024390243903,0.012195121951219513
0.0,0.012121212121212121,0.024242424242424242
0.006024096385542169,0.0,0.0
0.0,0.005988023952095809,0.0
0.026785714285714284,0.01488095238095238,0.01488095238095238
0.005917159763313609,0.020710059171597635,0.04142011834319527
0.0,0.03823529411764706,0.0058823529411764705
0.0,0.008771929824561403,0.008771929824561403
0.0,0.023255813953488372,0.0
0.005780346820809248,0.011560693641618497,0.0
0.0,0.011494252873563218,0.014367816091954023
0.0,0.008571428571428572,0.014285714285714285
0.0,0.0,0.019886363636363636
0.0,0.0,0.0
